uprn,slope_mean,aspect_mean,shading_mean,pv_output,AREA
100071191021.0,70.83452624434051,4.69131006261626,0.6364394120694686,923644.8480465283,18.432366625734165
100071191022.0,71.60957794189453,4.60543938271556,0.6450920219817693,1343954.2541113093,26.844773954856247
100071193199.0,42.15361598088191,5.923519229888916,0.4916666686534882,1513551.6767682277,29.2618077720676
100071193201.0,25.39766502380371,4.760802622537103,0.6194059520215714,515723.71879584016,6.245924206887594
100071193203.0,63.84000624831727,6.03087803912899,0.34908179243378984,1354793.0121636072,47.20764893923024
100071193211.0,31.611309687296547,0.229539193212986,0.6875,1132216.478069668,13.08552904638859
100071193779.0,73.6649284362793,4.567655324935913,0.6250000149011612,1281590.1772033148,26.276764564042118
100071193780.0,66.3725722691262,4.489821976077509,0.6599228663259764,385385.9343264607,7.0902254119551635
100071193781.0,73.6649284362793,4.567655324935913,0.6250000149011612,1281590.1772033148,26.276764564042118
100071193782.0,66.3725722691262,4.489821976077509,0.6599228663259764,385385.9343264607,7.0902254119551635
100071193787.0,71.86559076193693,4.724460478779955,0.43222730604280346,311189.8025510083,9.363955436711567
100071193789.0,71.86559076193693,4.724460478779955,0.43222730604280346,311189.8025510083,9.363955436711567
100071193799.0,65.17643852190095,4.587282333352621,0.6367749904872139,751015.5973043013,14.057482828988988
100071194098.0,70.71728769938152,1.2930711269378663,0.7416666626930237,950896.1812787019,16.561810374654634
